,to_id,from_id,date,post
0,7110301,7110301,1493320920,Ох ох очень нужны испытуемые Большое спасибо всем кто уже принял участие в исследовании Я занимаюсь валидизацией краткой версии нового личностного опросника Если методика получится хорошей я опубликую её в свободном доступе чтобы все желающие могли пользоваться Но для того чтобы сделать всё правильно сейчас нужно ещё хотя бы человек Ответ на все вопросы занимает примерно минут а ваша помощь будет неоценимой Пожалуйста максимальный репост 
1,7110301,7110301,1508983492,Дурацкая квадратная луна
3,7110301,7110301,1508330774,Кем я стал когда вырос 
4,7110301,7110301,1507680635,Я никогда особо не понимал что происходит
8,7110301,7110301,1501867598,Я хочу запомнить всё таким Цвета свежескошенной травы Дом где я был нужен и любим Дом теперь утраченный увы Я иду искать неясный клад В миллионе книг и паре слов Впереди сомнения и чад Но я к ним почти почти готов У меня есть нужный инструмент Полные карманы пустоты И в такой пронзительный момент В прошлое уходишь только ты Странная победа и беда Дом где я был нужен и любим Потому я не вернусь туда Я хочу запомнить всё таким
12,7110301,7110301,1501007542,Стажировка в отделе маркетинга в лондонском стартапе Стажировка длится три месяца удаленная работа не менее часов в день По окончании стажировки лучшему стажеру будет подарена недельная поездка в Лондоне с оплатой расходов Возможно последующее трудоустройство Не менее часов день всё что вы хотели знать об анти рабстве но боялись и правильно спросить 
14,7110301,7110301,1500929432,Нынешние сценаристы Игры престолов без опоры на книги совсем не справляются со сложностью мира сюжета и отношений между персонажами заданной оными книгами Ни на полшишечки На данный момент по крайней мере впечатление именно такое А вот визуально неплохо 
16,7110301,7110301,1500553169, пяни вкоробочках
22,7110301,7110301,1500303467,Сфотографировать вишенки в коробочках было очень важно
23,7110301,7110301,1499546195,У фильма Джон Уик на рейтинг Но ох насколько же это скучно бессмысленно и неубедительно Даже не уверен что стоит досматривать до конца Пока самое интересное это наблюдать за поведением массовки пока главные герои беспалевно бегают повсюду с пистолетами 
25,7110301,7110301,1498832720,Они залетают к нам уже третий день
26,7110301,7110301,1498413253,Я хочу быть свободным чтобы видеть каравеллы
27,7110301,7110301,1498296758,И спали они долго и счастливо
28,7110301,7110301,1497510105,Да здравствует прогресс В автобусах снова турникеты 
29,7110301,7110301,1497189694,Самое трудное в безделии состоит в том что ты не можешь прерваться и отдохнуть 
32,7110301,7110301,1494958417,Выпускники нашего университета получают всестороннее образование которое позволяет им успешно реализовать себя где угодно хоть на кассе хоть в торговом зале хоть в доставке 
33,7110301,7110301,1494836248,А есть ли какой то удобный продукт для управления вкладками в браузере Было бы классно объединять их в различные группы которые можно свернуть и быстро восстановить при необходимости выделять разными цветами тегами выборочно но массово добавлять в закладки и все такое 
34,7110301,7110301,1494314204,Один раз в жизни я покупал что то на Алиэкспрессе а тут вдруг мне звонит девушка с китайского номера и как водится используя язык который считает английским расспрашивает вроде бы про то как мне там всё понравилось и собираюсь ли я там что то продавать или только покупать о
