text;type
Задача - сделать человека счастливым - не входила в план сотворения мира .;-1
-Я лечу раны!–сказало Время… -Я приковываю к земле!–ответила Предубеждённость…<br>-Я окрыляю!–возразило Счастье… -А я раню,поднимаю до небес,а потом швыряю на землю!–коварно усмехнулась Любовь;-1
Поездка по городу - это чаще всего довольно неприятный опыт, вне зависимости от вида транспорта.<br><br>Общественный транспорт часто останавливается, медленно движется, приходится ждать на остановках, а в самом транспорте часто приходится сидеть/стоять так близко с большим количеством посторонних людей, как мы не всегда в нормальных условиях предпочитаем сидеть со своими друзьями. <br><br>При поездке на собственном автомобиле приходится останавливаться на светофорах, стоять в пробках или выбирать из-за них не удобные и длинные маршруты и сталкиваться с помехами, создаваемыми другими участниками движения и агрессией с их стороны. <br><br>Как можно переосмыслить городскую инфраструктуру и/или систему общественного транспорта, чтобы устранить или уменьшить эти проблемы и улучшить опыт перемещения по городу?;-1
Среди серого серого мегаполиса холодно... (с).;-1
«Каждое насилие, о котором я узнавал, было как бы насилие надо мною лично. И я дал клятву бороться со злом до последнего дыхания» ФЭД;-1
Мы ходим на работу, которую ненавидим чтобы купить вещи, которые нам не нужны. (c)Бойцовский клуб;-1
Я люблю, когда мода выходит на улицу, но я не люблю, когда она оттуда приходит.;-1
и все не так, и все не то. а как надо - не знаю...;-1
хочу гулять! - а надо писать курсовую :(;-1
Ускользающее лето.;-1
Нежность.Ее все время стыдятся,её прячут глубоко в боковой карман и вынимают только по вечерам в одиночестве,чтобы посмотреть как она истрепалась за день#nofilter#nomakeup#nophotoshop#естественнаякрасота#morning;-1
Не умеешь любить – сиди, дружи….;-1
не полечу.;-1
мне скучно;-1
Докатились... Во второй серии нового сезона Игры престолов нет ни одной сцены, соответствующей книжке) Один сплошной абсурд и тупизм...;-1
Кажется,это пи...ц..;-1
ИМХО, было бы правильно сделать так, чтобы стоимость проезда на автобусе (и других транспортных средствах) снижалась бы, например, на 5% или 10% с каждой минутой отставания этого автобуса от расписания (вне зависимости от причины). Услуга проезда на транспорте в современном мире включает в себя не только факт перемещения из одного места в другое, но и совершение этого перемещения в ожидаемых временных пределах. Соответственно, почему люди должны платить полную стоимость за некачественно (не полностью) оказанную услугу?;-1
"""Сама рациональность здравого смысла может быть самым худшим из предубеждений, поскольку мы называем разумным то, что нам таковым кажется"". <br>К.Г. Юнг";-1
бывают в мире извращенцы<br>бывают в мире дураки<br>но вот таких как ты не сыщешь<br>ты в этом смысле белый кит;-1
Сегодня, читая посты друзей на Фб, я случайно узнал о существовании партии Парнас. Меньше чем за неделю до выборов! Я по-прежнему не знаю, что это за партия, что для нее характерно, не знаю имен ее кандидатов. Я не о ней. Я о том, насколько слаб, бледен и бездарен политический пиар партий, причем особенно оппозиционных - тех, которым он необходим как воздух. <br>Я собирался голосовать за Яблоко. На прошлой неделе увидел их стенд у метро и 5 минут смотрел на него, стараясь запомнить имена кандидатов, которых мне нужно будет выбрать! Делал их работу за них, понимаете. Не запомнил, кстати. Не знаю, есть ли у них лозунг. О каком успехе может идти речь, если избиратели не знают имен ваших кандидатов?   Эти имена и лозунг, простой и понятный, должен быть везде, он должен не то что вспоминаться без усилий - он должен вертеться в голове, пока я наливаю себе чай, как песня, которая звучит на каждом углу. После этого, после того как все будут знать, что ты есть, кто ты и что ты отстаиваешь -  можно будет конкурировать на уровне программы. Учились бы хотя бы у Трампа, не будем уж говорить, у кого учился он. В общем, не верю я в них, хоть и желаю им добра.;-1
Несчастным прогульщикам:(((;-1
"Железные люди. Гроза морей. Знают о море все и практически религиозно его почитают. Живут и умирают в воде. НЕ. СПОСОБНЫ. ЗАМЕТИТЬ. ВРАЖЕСКИЙ. КОРАБЛЬ. ДО - МАТЬЕГО - ПРЯМОГО. ФИЗИЧЕСКОГО. СТОЛКНОВЕНИЯ. <br><br>Интернет сейчас полнится хайпом по новому сезону, выпускаются посты и видосики, вроде ""топ пять шокирующих вещей в первой серии"" или ""чего нам ждать от третьей серии? - разбор 20-секундного тизера"". Запрыгиваю в этот поезд и предлагаю вам:<br><br>""ТОП 1 ШОКИРУЮЩИХ ФАКТОВ ОБ ИГРЕ ПРЕСТОЛОВ В 2к17""<br>1 - Этот сериал все еще кому-то нужен.<br><br> <br>П.С. Не дай бог когда-нибудь сказать такое про ""Мир дикого запада""....";-1
"У меня, к сожалению, МТС. С утра не работает мобильная связь - симка не определяется сетью. Подумал, что сломалась симка, пошел менять. В первом салоне мне сказали, что у них ""только что"" упал интернет, и они сделать ничего не могут, но в соседнем салоне он точно работает. Однако же когда я пришел в этот соседний салон, оказалось, что интернет упал во всех салонах МТС в городе, и пробовать бесполезно. При этом никому не известно, связаны ли эти две проблемы - с симкой и с интернетом в салонах, но совпадение странное. Может, кто-нибудь знает, что за хрень? <br>http://cs303609.vk.me/v303609112/22f7/ZnlhJRqosN4.jpg";-1
"Как же я завидую этим детям. Всегда забавно смотреть, как какие-нибудь 12-15-летние мальчишки делают трики, до которых тебе расти и расти. А у них это ""с детства"". И падать им не так страшно, я думаю, есть же эта любовь к приключениям.";-1
Это возмутительно: Майкрософт за гранью здравого смысла.. В предыдущих версиях винды перезагрузку по поводу обновлений можно было отложить на разный срок, в восьмерке же этот процесс никак нельзя остановить. А если бы, к примеру, от работоспособности компьютера зависела бы моя жизнь или жизнь других людей? Такое вполне возможно себе представить. А эта херобора берет и перезагружается, да еще и с длительным применением обновлений. <br><br>(скрин не мой, я не юзаю IE);-1
Ненавижу.;-1
